iter	Passed	Remaining
0	162	161933
1	162	81176
2	163	54229
3	163	40787
4	164	32702
5	164	27329
6	165	23511
7	166	20653
8	167	18403
9	167	16594
10	168	15120
11	168	13897
12	169	12856
13	173	12214
14	174	11429
15	174	10747
16	175	10137
17	175	9594
18	176	9106
19	176	8664
20	177	8271
21	177	7909
22	179	7616
23	180	7348
24	181	7072
25	181	6815
26	182	6576
27	183	6370
28	184	6173
29	185	5990
30	185	5810
31	186	5641
32	188	5515
33	189	5382
34	190	5247
35	190	5112
36	191	4988
37	192	4868
38	194	4781
39	194	4672
40	195	4572
41	196	4472
42	196	4377
43	198	4303
44	199	4229
45	199	4145
46	200	4072
47	201	3997
48	202	3931
49	203	3865
50	205	3816
51	205	3750
52	207	3702
53	211	3706
54	212	3647
55	213	3595
56	214	3540
57	214	3487
58	215	3433
59	215	3381
60	216	3332
61	217	3286
62	218	3251
63	219	3206
64	220	3165
65	221	3129
66	222	3092
67	222	3048
68	223	3009
69	223	2970
70	224	2933
71	225	2909
72	226	2879
73	227	2845
74	227	2811
75	228	2778
76	229	2745
77	229	2716
78	230	2686
79	231	2659
80	231	2632
81	232	2603
82	233	2575
83	233	2550
84	234	2521
85	235	2500
86	235	2474
87	236	2450
88	236	2425
89	237	2403
90	238	2380
91	239	2368
92	240	2346
93	241	2324
94	244	2326
95	245	2309
96	246	2291
97	246	2270
98	251	2291
99	254	2289
100	254	2269
101	255	2247
102	255	2228
103	256	2209
104	257	2193
105	257	2174
106	258	2158
107	259	2142
108	260	2127
109	262	2124
110	263	2110
111	264	2094
112	265	2080
113	268	2083
114	268	2069
115	269	2054
116	272	2056
117	275	2057
118	277	2057
119	288	2118
120	289	2102
121	289	2086
122	290	2074
123	291	2060
124	292	2050
125	293	2036
126	294	2021
127	294	2007
128	295	1994
129	295	1980
130	296	1967
131	297	1955
132	298	1943
133	302	1957
134	303	1945
135	305	1943
136	306	1931
137	312	1951
138	314	1947
139	315	1938
140	318	1939
141	319	1928
142	319	1917
143	320	1905
144	322	1903
145	323	1894
146	324	1883
147	331	1907
148	334	1908
149	343	1948
150	344	1936
151	345	1929
152	346	1918
153	347	1907
154	347	1896
155	348	1886
156	349	1875
157	349	1864
158	351	1857
159	351	1846
160	352	1838
161	353	1828
162	354	1818
163	355	1809
164	355	1800
165	356	1792
166	357	1785
167	359	1778
168	359	1770
169	363	1776
170	364	1769
171	365	1761
172	366	1752
173	367	1744
174	368	1734
175	371	1739
176	372	1732
177	373	1722
178	374	1719
179	375	1711
180	376	1701
181	377	1694
182	377	1685
183	378	1679
184	379	1671
185	379	1662
186	380	1654
187	381	1648
188	383	1645
189	385	1645
190	386	1638
191	387	1630
192	388	1623
193	389	1616
194	389	1608
195	391	1606
196	392	1599
197	393	1592
198	394	1585
199	394	1579
200	395	1571
201	395	1564
202	396	1557
203	397	1551
204	398	1544
205	399	1538
206	399	1531
207	402	1533
208	404	1530
209	405	1525
210	406	1520
211	408	1517
212	409	1511
213	409	1505
214	412	1505
215	413	1499
216	414	1494
217	415	1489
218	415	1483
219	416	1477
220	417	1471
221	419	1468
222	420	1464
223	420	1458
224	421	1452
225	427	1464
226	429	1462
227	430	1456
228	430	1450
229	431	1444
230	432	1438
231	433	1435
232	435	1432
233	436	1428
234	437	1422
235	437	1416
236	438	1411
237	438	1405
238	440	1403
239	442	1400
240	443	1396
241	444	1391
242	445	1388
243	446	1383
244	447	1379
245	448	1374
246	448	1368
247	449	1363
248	450	1359
249	454	1362
250	454	1357
251	456	1355
252	457	1350
253	458	1346
254	459	1341
255	459	1336
256	460	1332
257	462	1330
258	463	1325
259	463	1319
260	464	1315
261	465	1310
262	466	1306
263	466	1301
264	467	1296
265	468	1292
266	471	1293
267	472	1289
268	472	1285
269	473	1281
270	474	1277
271	476	1274
272	477	1270
273	477	1266
274	478	1261
275	479	1258
276	481	1257
277	482	1252
278	484	1253
279	486	1251
280	487	1246
281	487	1242
282	488	1238
283	489	1234
284	490	1230
285	496	1238
286	497	1235
287	498	1232
288	499	1229
289	500	1225
290	501	1222
291	503	1220
292	503	1215
293	504	1212
294	507	1212
295	508	1209
296	509	1205
297	512	1207
298	516	1210
299	516	1205
300	517	1201
301	517	1197
302	519	1194
303	519	1190
304	520	1185
305	521	1181
306	522	1180
307	523	1177
308	524	1173
309	525	1168
310	525	1164
311	526	1161
312	527	1157
313	527	1153
314	528	1149
315	529	1146
316	530	1143
317	531	1139
318	532	1135
319	532	1132
320	533	1128
321	533	1124
322	534	1121
323	537	1120
324	537	1116
325	538	1113
326	539	1111
327	540	1107
328	541	1103
329	542	1100
330	543	1097
331	544	1094
332	545	1092
333	546	1088
334	548	1087
335	548	1084
336	549	1080
337	550	1077
338	550	1074
339	551	1070
340	552	1067
341	553	1064
342	553	1060
343	554	1057
344	555	1054
345	556	1051
346	556	1048
347	557	1044
348	559	1043
349	560	1040
350	561	1037
351	562	1034
352	562	1031
353	564	1029
354	565	1027
355	566	1024
356	566	1020
357	567	1017
358	569	1017
359	570	1014
360	573	1014
361	573	1011
362	574	1009
363	575	1006
364	577	1004
365	579	1003
366	580	1001
367	582	999
368	582	996
369	584	994
370	585	992
371	586	989
372	586	986
373	587	983
374	590	983
375	591	981
376	592	978
377	592	975
378	593	972
379	594	969
380	594	966
381	596	964
382	596	961
383	613	984
384	614	982
385	615	978
386	616	976
387	617	973
388	618	971
389	619	968
390	619	965
391	620	962
392	624	965
393	625	961
394	626	959
395	627	956
396	628	953
397	628	951
398	630	949
399	631	946
400	632	944
401	632	940
402	634	939
403	635	937
404	636	935
405	637	932
406	638	930
